frame_index,median_absdiff_roi,mean_absdiff_roi,p95_absdiff_roi
0,1.0,1.0235072604341997,3.0
382,1.0,0.9136735800074174,3.0
765,1.0,1.0074316035717343,3.0
1148,1.0,0.9089093658174764,3.0
1531,1.0,0.981228425527059,3.0
1914,1.0,0.930890366017174,3.0
2297,1.0,0.9238724217613329,3.0
2680,1.0,0.8922060879240008,3.0
3063,1.0,0.9426725244629561,3.0
3446,1.0,0.9241291758194734,3.0
3829,1.0,0.9395629475365874,3.0
4212,1.0,0.9244144581062962,3.0
4595,1.0,0.9594756511568197,3.0
4978,1.0,0.9105782671953898,3.0
5361,1.0,0.9286936924086383,3.0
5744,1.0,0.9185376429977463,3.0
6127,1.0,0.8997945967534876,3.0
6510,1.0,0.9956494451259521,3.0
6893,1.0,0.897498074344564,3.0
7276,1.0,0.9518158217556272,3.0
7659,1.0,0.9491199041451517,3.0
8042,1.0,0.9046729238581577,3.0
8425,1.0,0.9039597181411007,3.0
8808,1.0,0.892120503237954,3.0
9190,1.0,0.9000941431546515,3.0
9573,1.0,0.9285795794939092,3.0
9956,1.0,0.8916355233503552,3.0
10339,1.0,0.9119904145151627,3.0
10722,1.0,0.9313325535617494,3.0
11105,1.0,0.902989758365903,3.0
11488,1.0,0.9026331555073746,3.0
11871,1.0,0.8808090605654295,3.0
12254,1.0,0.9217328046101617,3.0
12637,1.0,0.8911220152340741,3.0
13020,1.0,1.0205688528799246,3.0
13403,1.0,0.9202778649473654,3.0
13786,1.0,0.9398197015947279,3.0
14169,1.0,0.9165691952186689,3.0
14552,1.0,0.9666647647847545,3.0
14935,1.0,0.9012352723019428,3.0
15318,1.0,0.942358713947451,3.0
15701,1.0,0.9700881522266283,3.0
16084,1.0,0.9428722220637321,3.0
16467,1.0,0.9488488859726699,3.0
16850,1.0,0.9424157704048156,3.0
17233,1.0,0.9252703049667647,3.0
17616,1.0,0.9088095170170885,3.0
17999,1.0,0.9167546287051037,3.0
