any_sample_inside_raw,direction_as_events_csv,direction_endpoint_rule,displacement_px,end_in_valid_dilated,end_in_valid_raw,final_gate_fail_reason,frame_end,frame_span,frame_start,internal_gap_frames,is_exit_as_events_csv,not_exit_reason_primary,num_detections,overlay_category,passed_post_filter_pre_merge,path_length_px,relaxed_exit_outward,start_in_valid_dilated,start_in_valid_raw,track_id,x_end,x_start,y_end,y_start
False,outside,outside,0.0,False,False,min_track_length,2,1,2,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,1,937.0,937.0,617.5,617.5
False,outside,outside,0.0,True,False,min_track_length,30,1,30,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,True,False,2,441.0,441.0,745.0,745.0
False,outside,outside,0.0,False,False,min_track_length,48,1,48,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,3,345.5,345.5,290.0,290.0
False,outside,outside,0.0,False,False,min_track_length,67,1,67,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,4,363.5,363.5,758.5,758.5
False,outside,outside,0.0,False,False,min_track_length,67,1,67,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,5,521.5,521.5,585.5,585.5
False,outside,outside,175.67,False,False,,122,8,115,0,False,strict_endpoints_both_outside_never_inside_mask,8,no_exit_geometry_outside,True,187.12,False,True,False,6,974.0,807.0,601.5,656.0
False,outside,outside,562.8,False,False,require_start_or_end_in_valid_region,125,7,119,1,False,strict_endpoints_both_outside_never_inside_mask,6,no_exit_gate_final,False,594.85,False,False,False,7,1022.0,835.5,92.5,623.5
False,outside,outside,0.0,False,False,min_track_length,121,1,121,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,8,941.5,941.5,618.5,618.5
False,outside,outside,11.01,False,False,min_track_length,122,2,121,0,False,strict_endpoints_both_outside_never_inside_mask,2,no_exit_length_or_shape,False,11.01,False,False,False,9,1001.0,990.0,601.5,602.0
False,outside,outside,607.73,False,False,require_start_or_end_in_valid_region,126,6,121,0,False,strict_endpoints_both_outside_never_inside_mask,6,no_exit_gate_final,False,619.46,False,False,False,10,1184.0,951.5,40.0,601.5
False,outside,outside,0.0,False,False,min_track_length,123,1,123,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,11,990.5,990.5,380.0,380.0
False,outside,outside,0.0,False,False,min_track_length,124,1,124,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,12,1149.5,1149.5,347.0,347.0
False,outside,outside,0.0,False,False,min_track_length,124,1,124,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,13,1172.0,1172.0,337.0,337.0
False,outside,outside,0.0,False,False,min_track_length,125,1,125,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,14,1159.5,1159.5,170.0,170.0
False,outside,outside,0.0,False,False,min_track_length,125,1,125,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,15,1142.0,1142.0,131.5,131.5
