end_in,length,min_required,reason,start_in,track_id
False,,,require_start_or_end_in_valid_region,False,1
,3,6,min_track_length,,2
,1,6,min_track_length,,3
,1,6,min_track_length,,4
,1,6,min_track_length,,5
,3,6,min_track_length,,6
,1,6,min_track_length,,7
,1,6,min_track_length,,8
,2,6,min_track_length,,9
,1,6,min_track_length,,10
,1,6,min_track_length,,11
,4,6,min_track_length,,12
False,,,require_start_or_end_in_valid_region,False,13
,1,6,min_track_length,,14
,3,6,min_track_length,,15
,1,6,min_track_length,,17
,1,6,min_track_length,,18
,1,6,min_track_length,,19
,1,6,min_track_length,,20
False,,,require_start_or_end_in_valid_region,False,21
,1,6,min_track_length,,22
,2,6,min_track_length,,23
,1,6,min_track_length,,24
,3,6,min_track_length,,25
False,,,require_start_or_end_in_valid_region,False,26
,1,6,min_track_length,,27
,3,6,min_track_length,,28
,1,6,min_track_length,,29
,1,6,min_track_length,,30
,4,6,min_track_length,,31
,1,6,min_track_length,,32
,1,6,min_track_length,,33
,4,6,min_track_length,,34
,1,6,min_track_length,,35
False,,,require_start_or_end_in_valid_region,False,36
,1,6,min_track_length,,37
,1,6,min_track_length,,38
,2,6,min_track_length,,39
,1,6,min_track_length,,40
,1,6,min_track_length,,41
