video_id,track_id,frame,time_sec,x,y,vx,vy,bbox_x1,bbox_y1,bbox_x2,bbox_y2,area
retallat,46,3775,125.83333333333333,700.5,660.0,0.0,0.0,691,656,710,664,76.0
retallat,46,3776,125.86666666666666,744.5,658.5,792.0,-27.0,736,652,753,665,138.0
retallat,46,3777,125.9,783.5,649.5,1018.8,-172.8,768,639,799,660,369.0
retallat,46,3778,125.93333333333334,830.0,640.0,1244.52,-240.12,818,625,842,655,374.5
retallat,46,3779,125.96666666666667,878.0,606.0,1361.808,-708.048,858,584,898,628,635.5
retallat,46,3780,126.0,908.0,595.0,1084.7232,-481.2192,895,574,921,616,521.5
retallat,46,3781,126.03333333333333,940.0,544.5,1009.88928,-1101.48768,931,534,949,555,164.0
retallat,46,3782,126.06666666666666,969.5,479.5,934.955712,-1610.595072,945,428,994,531,2510.0
retallat,46,3784,126.13333333333334,1037.5,371.5,948.58405632,-1551.8142259200001,1030,359,1045,384,230.5
retallat,46,3785,126.16666666666667,1073.0,274.5,1018.433622528,-2366.725690368,1042,230,1104,319,2589.5
retallat,46,3786,126.2,1123.0,118.0,1307.3734490112001,-3763.6902761472,1073,52,1173,184,6607.5
retallat,83,3905,130.16666666666666,1002.0,554.5,0.0,0.0,993,544,1011,565,142.5
retallat,83,3906,130.2,1008.0,579.5,108.0,450.0,975,519,1041,640,2904.0
retallat,83,3907,130.23333333333332,957.5,617.0,-865.8,855.0,952,613,963,621,49.0
retallat,83,3908,130.26666666666668,922.5,637.5,-976.3199999999999,711.0,915,630,930,645,101.0
retallat,83,3909,130.3,879.5,654.5,-1164.528,590.4000000000001,853,638,906,671,912.5
retallat,83,3910,130.33333333333334,862.0,668.0,-780.8112000000001,479.1600000000001,840,656,884,680,474.5
retallat,83,3911,130.36666666666667,832.0,666.0,-852.32448,155.66400000000004,820,659,844,673,180.0
retallat,83,3912,130.4,795.0,659.5,-1006.929792,-54.73439999999998,786,652,804,667,192.0
retallat,83,3913,130.43333333333334,768.5,659.5,-879.7719168000001,-21.893759999999993,760,652,777,667,168.5
retallat,83,3914,130.46666666666667,747.0,659.0,-738.9087667200001,-17.757503999999997,742,654,752,664,62.0
retallat,83,3915,130.5,733.0,657.0,-547.5635066880001,-43.1030016,726,651,740,663,90.0
retallat,88,4715,157.16666666666666,1134.0,21.5,0.0,0.0,1121,0,1147,43,560.5
retallat,88,4716,157.2,1094.5,109.0,-711.0,1575.0,1062,94,1127,124,1010.0
retallat,88,4717,157.23333333333332,1079.5,244.5,-554.4000000000001,3069.0,1071,233,1088,256,178.5
retallat,88,4718,157.26666666666668,1032.5,399.5,-1067.76,4017.6000000000004,994,353,1071,446,2777.5
retallat,88,4719,157.3,965.0,452.5,-1642.104,2561.04,928,415,1002,490,3191.5
retallat,88,4720,157.33333333333334,935.0,538.0,-1196.8416000000002,2563.416,922,526,948,550,307.5
retallat,88,4721,157.36666666666667,880.5,571.0,-1459.73664,1619.3664,865,550,896,592,606.5
retallat,88,4722,157.4,849.5,609.0,-1141.894656,1331.74656,838,601,861,617,200.0
retallat,88,4723,157.43333333333334,791.5,619.0,-1500.7578624,712.698624,781,611,802,627,230.0
retallat,88,4724,157.46666666666667,751.0,626.0,-1329.30314496,411.07944960000003,744,620,758,632,98.5
retallat,106,4756,158.53333333333333,938.5,600.5,0.0,0.0,933,595,944,606,61.0
retallat,106,4757,158.56666666666666,889.5,621.0,-882.0,369.0,877,605,902,637,429.5
retallat,106,4758,158.6,859.5,641.5,-892.8,516.6,848,626,871,657,440.5
retallat,106,4759,158.63333333333333,817.5,648.0,-1113.12,323.64,814,643,821,653,38.0
retallat,106,4760,158.66666666666666,779.0,661.5,-1138.248,372.456,773,657,785,666,65.5
retallat,106,4761,158.7,741.0,662.0,-1139.2992,157.9824,736,657,746,667,59.5
