end_in,length,min_required,reason,start_in,track_id
,1,6,min_track_length,,1
,1,6,min_track_length,,2
,1,6,min_track_length,,3
,1,6,min_track_length,,4
,1,6,min_track_length,,5
False,,,require_start_or_end_in_valid_region,False,6
False,,,require_start_or_end_in_valid_region,False,7
,1,6,min_track_length,,8
,2,6,min_track_length,,9
False,,,require_start_or_end_in_valid_region,False,10
,1,6,min_track_length,,11
,1,6,min_track_length,,12
,1,6,min_track_length,,13
,1,6,min_track_length,,14
,1,6,min_track_length,,15
,1,6,min_track_length,,16
,1,6,min_track_length,,17
,1,6,min_track_length,,18
,1,6,min_track_length,,19
,1,6,min_track_length,,20
,1,6,min_track_length,,21
,1,6,min_track_length,,22
,1,6,min_track_length,,23
,1,6,min_track_length,,24
,1,6,min_track_length,,25
,2,6,min_track_length,,26
,1,6,min_track_length,,27
,1,6,min_track_length,,28
,1,6,min_track_length,,29
,1,6,min_track_length,,30
,1,6,min_track_length,,31
,1,6,min_track_length,,32
,1,6,min_track_length,,33
,1,6,min_track_length,,34
,1,6,min_track_length,,35
,1,6,min_track_length,,36
,1,6,min_track_length,,37
,1,6,min_track_length,,38
,1,6,min_track_length,,39
,1,6,min_track_length,,40
,1,6,min_track_length,,41
,1,6,min_track_length,,42
,1,6,min_track_length,,43
,1,6,min_track_length,,44
,1,6,min_track_length,,45
,2,6,min_track_length,,46
,1,6,min_track_length,,47
,1,6,min_track_length,,48
,1,6,min_track_length,,49
,1,6,min_track_length,,50
,1,6,min_track_length,,51
,1,6,min_track_length,,52
,1,6,min_track_length,,53
,1,6,min_track_length,,54
,1,6,min_track_length,,55
,1,6,min_track_length,,56
,1,6,min_track_length,,57
,1,6,min_track_length,,58
,1,6,min_track_length,,59
,1,6,min_track_length,,60
,1,6,min_track_length,,61
,1,6,min_track_length,,62
,1,6,min_track_length,,63
,1,6,min_track_length,,64
,1,6,min_track_length,,65
,1,6,min_track_length,,66
,1,6,min_track_length,,67
,1,6,min_track_length,,68
,1,6,min_track_length,,69
,1,6,min_track_length,,70
,1,6,min_track_length,,71
,1,6,min_track_length,,72
,1,6,min_track_length,,73
,1,6,min_track_length,,74
,1,6,min_track_length,,75
,1,6,min_track_length,,76
,1,6,min_track_length,,77
,1,6,min_track_length,,78
,1,6,min_track_length,,79
,1,6,min_track_length,,80
,1,6,min_track_length,,81
,1,6,min_track_length,,82
,1,6,min_track_length,,83
,1,6,min_track_length,,84
,3,6,min_track_length,,85
,3,6,min_track_length,,86
False,,,require_start_or_end_in_valid_region,False,87
,1,6,min_track_length,,88
,1,6,min_track_length,,89
,1,6,min_track_length,,90
,1,6,min_track_length,,91
False,,,require_start_or_end_in_valid_region,False,92
,1,6,min_track_length,,93
,1,6,min_track_length,,94
,1,6,min_track_length,,95
,1,6,min_track_length,,96
,1,6,min_track_length,,97
,1,6,min_track_length,,98
,1,6,min_track_length,,99
,1,6,min_track_length,,100
,1,6,min_track_length,,101
,1,6,min_track_length,,102
,1,6,min_track_length,,103
,1,6,min_track_length,,104
,1,6,min_track_length,,105
,1,6,min_track_length,,106
,1,6,min_track_length,,107
,1,6,min_track_length,,108
,1,6,min_track_length,,109
,1,6,min_track_length,,110
,1,6,min_track_length,,111
,1,6,min_track_length,,112
,1,6,min_track_length,,113
,1,6,min_track_length,,114
,1,6,min_track_length,,115
,1,6,min_track_length,,116
,1,6,min_track_length,,117
,1,6,min_track_length,,118
,1,6,min_track_length,,119
,1,6,min_track_length,,120
,1,6,min_track_length,,121
,1,6,min_track_length,,122
,1,6,min_track_length,,123
,1,6,min_track_length,,124
,1,6,min_track_length,,125
,1,6,min_track_length,,126
,1,6,min_track_length,,127
False,,,require_start_or_end_in_valid_region,False,128
,1,6,min_track_length,,129
False,,,require_start_or_end_in_valid_region,False,130
,3,6,min_track_length,,131
,3,6,min_track_length,,132
,1,6,min_track_length,,133
,1,6,min_track_length,,134
,1,6,min_track_length,,135
,1,6,min_track_length,,136
,1,6,min_track_length,,137
,1,6,min_track_length,,138
,1,6,min_track_length,,139
,1,6,min_track_length,,140
,1,6,min_track_length,,141
,1,6,min_track_length,,142
,1,6,min_track_length,,143
,1,6,min_track_length,,144
,1,6,min_track_length,,145
,1,6,min_track_length,,146
,1,6,min_track_length,,147
,1,6,min_track_length,,148
,1,6,min_track_length,,149
,1,6,min_track_length,,150
,1,6,min_track_length,,151
,1,6,min_track_length,,152
,1,6,min_track_length,,153
,1,6,min_track_length,,154
,1,6,min_track_length,,155
,1,6,min_track_length,,156
,1,6,min_track_length,,157
,1,6,min_track_length,,158
,1,6,min_track_length,,159
,1,6,min_track_length,,160
,3,6,min_track_length,,161
,2,6,min_track_length,,162
,3,6,min_track_length,,163
False,,,require_start_or_end_in_valid_region,False,164
,1,6,min_track_length,,165
,2,6,min_track_length,,166
,2,6,min_track_length,,167
,2,6,min_track_length,,168
,1,6,min_track_length,,169
,4,6,min_track_length,,170
,1,6,min_track_length,,171
,1,6,min_track_length,,172
,2,6,min_track_length,,173
False,,,require_start_or_end_in_valid_region,False,174
,1,6,min_track_length,,175
,1,6,min_track_length,,176
,1,6,min_track_length,,177
,2,6,min_track_length,,178
,1,6,min_track_length,,179
,1,6,min_track_length,,180
,1,6,min_track_length,,181
,1,6,min_track_length,,182
,1,6,min_track_length,,183
,1,6,min_track_length,,184
,1,6,min_track_length,,185
,1,6,min_track_length,,186
,1,6,min_track_length,,187
,2,6,min_track_length,,188
,1,6,min_track_length,,189
,1,6,min_track_length,,190
,1,6,min_track_length,,191
,2,6,min_track_length,,192
,1,6,min_track_length,,193
,1,6,min_track_length,,194
,1,6,min_track_length,,195
,1,6,min_track_length,,196
,1,6,min_track_length,,197
,1,6,min_track_length,,198
,1,6,min_track_length,,199
,1,6,min_track_length,,200
,1,6,min_track_length,,201
,1,6,min_track_length,,202
,1,6,min_track_length,,203
,1,6,min_track_length,,204
,1,6,min_track_length,,205
,3,6,min_track_length,,207
,1,6,min_track_length,,208
,1,6,min_track_length,,209
,1,6,min_track_length,,210
,1,6,min_track_length,,211
,2,6,min_track_length,,212
,3,6,min_track_length,,213
,1,6,min_track_length,,214
,1,6,min_track_length,,215
,1,6,min_track_length,,216
,1,6,min_track_length,,217
,1,6,min_track_length,,218
,1,6,min_track_length,,219
