video_id,track_id,frame,time_sec,x,y,vx,vy,bbox_x1,bbox_y1,bbox_x2,bbox_y2,area
retallat,160,3774,125.8,662.5,653.0,0.0,0.0,659,651,666,655,13.5
retallat,160,3775,125.83333333333333,700.5,660.0,684.0,126.0,691,656,710,664,76.0
retallat,160,3776,125.86666666666666,744.5,658.5,1065.6,23.400000000000006,736,652,753,665,138.0
retallat,160,3777,125.9,783.5,649.5,1128.24,-152.64,768,639,799,660,369.0
retallat,160,3778,125.93333333333334,830.0,640.0,1288.296,-232.05599999999998,818,625,842,655,374.5
retallat,160,3779,125.96666666666667,878.0,606.0,1379.3184,-704.8224,858,584,898,628,635.5
retallat,160,3780,126.0,908.0,595.0,1091.72736,-479.92896,895,574,921,616,521.5
retallat,160,3781,126.03333333333333,940.0,544.5,1012.6909440000001,-1100.971584,931,534,949,555,164.0
retallat,160,3782,126.06666666666666,969.5,479.5,936.0763776000001,-1610.3886336,945,428,994,531,2510.0
retallat,160,3783,126.1,1037.0,475.5,1589.43055104,-716.1554534400001,987,424,1087,527,3419.0
retallat,160,3784,126.13333333333334,1037.5,371.5,644.772220416,-2158.462181376,1030,359,1045,384,230.5
retallat,160,3785,126.16666666666667,1073.0,274.5,896.9088881664,-2609.3848725504,1042,230,1104,319,2589.5
retallat,160,3786,126.2,1123.0,118.0,1258.76355526656,-3860.75394902016,1073,52,1173,184,6607.5
retallat,160,3787,126.23333333333333,1160.5,3.5,1178.5054221066239,-3605.301579608064,1157,0,1164,7,23.0
retallat,195,3900,130.0,1302.0,255.5,0.0,0.0,1279,227,1325,284,872.0
retallat,195,3901,130.03333333333333,1204.5,324.5,-1755.0,1242.0,1201,322,1208,327,11.0
retallat,195,3902,130.06666666666666,1125.5,416.5,-2124.0,2152.8,1056,349,1195,484,5314.0
retallat,195,3903,130.1,1091.0,453.5,-1470.6,1527.1200000000001,1022,425,1160,482,3381.5
retallat,195,3904,130.13333333333333,1055.5,482.0,-1227.24,1123.848,994,441,1117,523,4183.5
retallat,195,3905,130.16666666666666,1019.0,534.5,-1147.896,1394.5392,1017,532,1021,537,6.0
retallat,195,3905,130.16666666666666,994.0,572.0,0.0,0.0,992,569,996,575,10.0
retallat,195,3906,130.2,1008.0,579.5,252.0,135.0,975,519,1041,640,2904.0
retallat,195,3907,130.23333333333332,957.5,617.0,-966.7425599999999,1244.534112,952,613,963,621,49.0
retallat,195,3907,130.23333333333332,978.5,573.5,-430.2,-54.0,954,536,1003,611,1145.5
retallat,195,3908,130.26666666666668,922.5,637.5,-1016.697024,866.8136448,915,630,930,645,101.0
retallat,195,3908,130.26666666666668,940.0,617.0,-865.08,761.4,931,607,949,627,229.0
retallat,195,3909,130.3,879.5,654.5,-1180.6788096,652.72545792,853,638,906,671,912.5
retallat,195,3910,130.33333333333334,862.0,668.0,-787.2715238400001,504.090183168,840,656,884,680,474.5
retallat,195,3911,130.36666666666667,832.0,666.0,-854.9086095360001,165.6360732672,820,659,844,673,180.0
retallat,195,3912,130.4,795.0,659.5,-1007.9634438144001,-50.74557069312,786,652,804,667,192.0
retallat,195,3913,130.43333333333334,768.5,659.5,-880.18537752576,-20.298228277248,760,652,777,667,168.5
retallat,195,3914,130.46666666666667,747.0,659.0,-739.074151010304,-17.1192913108992,742,654,752,664,62.0
retallat,195,3915,130.5,733.0,657.0,-547.6296604041216,-42.84771652435968,726,651,740,663,90.0
retallat,195,3915,130.5,745.0,657.5,-685.3241635405714,265.99852810285716,742,654,748,661,14.5
retallat,195,3916,130.53333333333333,715.0,663.0,-543.0518641616486,90.86091339025613,713,661,717,665,7.0
retallat,234,4715,157.16666666666666,1134.0,21.5,0.0,0.0,1121,0,1147,43,560.5
retallat,234,4716,157.2,1106.5,137.0,-495.0,2079.0,1102,132,1111,142,44.5
retallat,234,4717,157.23333333333332,1079.5,244.5,-684.0,2766.6,1071,233,1088,256,178.5
retallat,234,4718,157.26666666666668,1032.5,399.5,-1119.6,3896.6400000000003,994,353,1071,446,2777.5
retallat,234,4719,157.3,965.0,452.5,-1662.84,2512.656,928,415,1002,490,3191.5
retallat,234,4720,157.33333333333334,935.0,538.0,-1205.136,2544.0624,922,526,948,550,307.5
