video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
retallat,6,3.8333,4.0667,0.2333,115,122,8,807.0,656.0,974.0,601.5,175.67,187.12,0.9388,801.93,459.75,True,False,exits
retallat,7,3.9667,4.1667,0.2,119,125,6,835.5,623.5,1022.0,92.5,562.8,594.85,0.9461,2974.27,131.25,True,False,exits
retallat,93,89.0333,89.3,0.2667,2671,2679,9,829.5,623.5,1173.5,138.5,594.61,640.67,0.9281,2402.53,581.72,True,False,exits
retallat,123,110.8333,111.1333,0.3,3325,3334,9,1214.0,175.0,855.0,651.5,596.6,712.3,0.8376,2374.32,2566.5,False,False,outside
retallat,133,111.0667,111.2333,0.1667,3332,3337,6,884.0,552.0,863.0,652.5,102.67,121.62,0.8442,729.71,476.92,False,False,outside
retallat,160,125.8,126.2333,0.4333,3774,3787,14,662.5,653.0,1160.5,3.5,818.45,951.78,0.8599,2196.42,1262.25,True,False,exits
retallat,195,130.0,130.5333,0.5333,3900,3916,21,1302.0,255.5,715.0,663.0,714.58,950.49,0.7518,1782.17,967.02,False,True,enters
retallat,232,156.7333,156.8667,0.1333,4702,4706,5,713.0,588.5,736.0,574.5,26.93,27.69,0.9725,207.66,106.6,True,True,inside
retallat,234,157.1667,157.4667,0.3,4715,4724,10,1134.0,21.5,751.0,626.0,715.62,780.68,0.9167,2602.26,819.5,False,True,enters
retallat,237,157.2333,157.8667,0.6333,4717,4736,8,1065.0,285.0,774.5,642.5,460.65,573.41,0.8033,905.39,1152.56,False,True,enters
retallat,260,158.5,158.7,0.2,4755,4761,7,966.0,582.5,741.0,662.0,238.63,243.62,0.9795,1218.1,159.5,False,True,enters
retallat,361,235.0667,235.9,0.8333,7052,7077,24,832.5,767.5,694.0,575.5,236.74,263.31,0.8991,315.98,36.31,False,True,enters
retallat,373,244.6667,244.8,0.1333,7340,7344,5,422.5,571.0,141.0,595.5,282.56,362.72,0.779,2720.4,1525.5,False,False,exits
