video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
retallat,6,3.8333,4.0667,0.2333,115,122,8,807.0,656.0,974.0,601.5,175.67,187.12,0.9388,801.93,459.75,True,True,inside
retallat,7,3.9667,4.1667,0.2,119,125,6,835.5,623.5,1022.0,92.5,562.8,594.85,0.9461,2974.27,131.25,True,True,inside
retallat,10,4.0333,4.2,0.1667,121,126,6,951.5,601.5,1184.0,40.0,607.73,619.46,0.9811,3716.78,2419.83,True,True,inside
retallat,68,63.6333,64.0,0.3667,1909,1920,11,1279.0,630.5,993.5,762.5,314.54,322.27,0.976,878.91,62.14,True,True,inside
retallat,93,89.0333,89.3333,0.3,2671,2680,15,829.5,623.5,1245.0,15.5,736.41,947.36,0.7773,3157.86,476.33,True,True,inside
retallat,123,110.8333,111.1333,0.3,3325,3334,9,1214.0,175.0,855.0,651.5,596.6,712.3,0.8376,2374.32,2566.5,True,True,inside
retallat,129,110.9,111.0,0.1,3327,3330,4,1041.5,248.0,980.0,253.5,61.75,82.9,0.7449,828.95,367.25,True,True,inside
retallat,133,111.0667,111.2333,0.1667,3332,3337,6,884.0,552.0,863.0,652.5,102.67,121.62,0.8442,729.71,476.92,True,True,inside
retallat,160,125.8,126.8667,1.0667,3774,3806,27,662.5,653.0,1497.5,93.5,1005.12,2717.93,0.3698,2548.06,1255.3,True,False,exits
retallat,184,126.6667,126.7667,0.1,3800,3803,4,988.0,580.0,1059.5,432.0,164.37,166.08,0.9897,1660.8,1645.25,True,True,inside
retallat,193,129.9667,130.1667,0.2,3899,3905,6,1392.0,154.5,1002.0,554.5,558.66,657.64,0.8495,3288.19,122.33,False,True,enters
retallat,195,130.0,130.5333,0.5333,3900,3916,21,1302.0,255.5,715.0,663.0,714.58,950.49,0.7518,1782.17,967.02,True,True,inside
retallat,208,130.1,130.2,0.1,3903,3906,4,1075.5,393.5,1042.5,482.5,94.92,207.47,0.4575,2074.69,795.88,True,True,inside
retallat,209,130.1,130.2333,0.1333,3903,3907,5,1061.0,381.0,941.0,616.5,264.31,272.87,0.9686,2046.49,111.9,True,True,inside
retallat,232,156.7333,156.8667,0.1333,4702,4706,5,713.0,588.5,736.0,574.5,26.93,27.69,0.9725,207.66,106.6,True,True,inside
retallat,233,157.1667,157.9667,0.8,4715,4739,6,1115.5,37.5,1261.5,102.0,159.61,290.77,0.5489,363.47,589.5,True,True,inside
retallat,234,157.1667,157.4667,0.3,4715,4724,10,1134.0,21.5,751.0,626.0,715.62,780.68,0.9167,2602.26,819.5,True,True,inside
retallat,237,157.2333,157.8667,0.6333,4717,4736,8,1065.0,285.0,774.5,642.5,460.65,573.41,0.8033,905.39,1152.56,True,True,inside
retallat,252,158.3333,158.5333,0.2,4750,4756,6,1183.0,244.0,896.0,638.5,487.85,492.87,0.9898,2464.36,719.58,True,True,inside
retallat,260,158.5,158.7,0.2,4755,4761,7,966.0,582.5,741.0,662.0,238.63,243.62,0.9795,1218.1,159.5,True,True,inside
retallat,282,175.7333,176.1,0.3667,5272,5283,12,1707.5,744.5,1148.0,769.5,560.06,575.39,0.9734,1569.24,326.38,False,True,enters
retallat,361,235.0667,235.9,0.8333,7052,7077,24,832.5,767.5,694.0,575.5,236.74,263.31,0.8991,315.98,36.31,True,True,inside
retallat,373,244.6667,244.8,0.1333,7340,7344,5,422.5,571.0,141.0,595.5,282.56,362.72,0.779,2720.4,1525.5,True,False,exits
