video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
rabella_20211016_DSCF0005,14,1.48,1.8,0.32,37,45,9,237.5,422.0,577.5,39.5,511.77,523.88,0.9769,1637.14,493.44,True,False,exits
rabella_20211016_DSCF0005,25,2.28,2.64,0.36,57,66,10,297.5,426.0,539.5,65.5,434.19,456.93,0.9502,1269.25,1630.05,True,False,exits
rabella_20211016_DSCF0005,32,3.36,3.8,0.44,84,95,17,217.5,421.0,553.0,11.5,529.39,813.76,0.6505,1849.46,520.85,True,False,exits
rabella_20211016_DSCF0005,42,6.28,6.92,0.64,157,173,15,178.5,395.5,411.5,480.5,248.02,408.01,0.6079,637.52,563.97,True,True,inside
rabella_20211016_DSCF0005,44,6.48,6.76,0.28,162,169,8,362.0,319.0,460.0,412.0,135.1,149.76,0.9021,534.87,349.0,True,True,inside
rabella_20211016_DSCF0005,48,17.08,17.32,0.24,427,433,7,275.0,414.0,519.5,79.0,414.74,419.2,0.9893,1746.67,1065.64,True,False,exits
rabella_20211016_DSCF0005,53,22.28,22.56,0.28,557,564,8,164.0,401.5,410.5,493.0,262.93,276.78,0.95,988.5,722.44,True,True,inside
rabella_20211016_DSCF0005,56,26.16,26.84,0.68,654,671,24,192.0,415.5,409.0,465.0,222.57,658.03,0.3382,967.68,382.85,True,True,inside
rabella_20211016_DSCF0005,59,47.2,47.92,0.72,1180,1198,17,270.5,442.0,461.0,508.0,201.61,464.39,0.4341,644.99,550.94,True,True,inside
rabella_20211016_DSCF0005,60,47.44,47.84,0.4,1186,1196,11,330.0,330.0,501.0,463.0,216.63,279.72,0.7745,699.3,192.14,True,True,inside
rabella_20211016_DSCF0005,61,47.48,48.04,0.56,1187,1201,7,418.0,336.5,502.5,153.5,201.57,272.27,0.7403,486.19,606.29,True,False,exits
rabella_20211016_DSCF0005,68,51.88,52.32,0.44,1297,1308,12,322.5,450.0,476.5,329.5,195.54,232.08,0.8426,527.45,933.33,True,False,exits
rabella_20211016_DSCF0005,69,52.08,52.64,0.56,1302,1316,22,343.5,341.5,468.0,482.5,188.1,536.93,0.3503,958.8,249.45,True,True,inside
rabella_20211016_DSCF0005,71,54.04,54.32,0.28,1351,1358,8,223.0,420.5,542.0,66.5,476.53,486.65,0.9792,1738.02,938.75,True,False,exits
rabella_20211016_DSCF0005,83,55.32,55.8,0.48,1383,1395,20,272.0,446.5,550.0,19.0,509.94,1030.98,0.4946,2147.88,702.33,True,False,exits
rabella_20211016_DSCF0005,95,59.68,59.96,0.28,1492,1499,8,157.0,359.0,401.5,417.0,251.29,337.26,0.7451,1204.49,862.88,True,True,inside
