video_id,track_id,frame,time_sec,x,y,vx,vy,bbox_x1,bbox_y1,bbox_x2,bbox_y2,area
rabella_20211016_DSCF0005,14,37,1.48,237.5,422.0,0.0,0.0,223,414,252,430,203.5
rabella_20211016_DSCF0005,14,38,1.52,269.0,408.5,472.5,-202.5,252,399,286,418,292.5
rabella_20211016_DSCF0005,14,39,1.56,306.0,388.0,744.0,-388.5,280,373,332,403,594.5
rabella_20211016_DSCF0005,14,40,1.6,338.5,361.5,785.1,-552.9,314,342,363,381,807.0
rabella_20211016_DSCF0005,14,41,1.64,376.0,326.0,876.54,-753.66,349,305,403,347,1164.5
rabella_20211016_DSCF0005,14,42,1.68,421.5,251.0,1033.116,-1426.464,411,240,432,262,117.0
rabella_20211016_DSCF0005,14,43,1.72,459.5,178.5,983.2464,-1658.0855999999999,438,155,481,202,1082.5
rabella_20211016_DSCF0005,14,44,1.76,510.0,99.0,1150.79856,-1855.73424,496,93,524,105,169.5
rabella_20211016_DSCF0005,14,45,1.8,577.5,39.5,1472.819424,-1634.7936960000002,575,37,580,42,10.0
rabella_20211016_DSCF0005,25,57,2.28,297.5,426.0,0.0,0.0,277,414,318,438,504.5
rabella_20211016_DSCF0005,25,58,2.32,326.5,406.0,435.0,-300.0,303,389,350,423,782.0
rabella_20211016_DSCF0005,25,59,2.36,355.5,377.5,609.0,-547.5,322,349,389,406,2456.0
rabella_20211016_DSCF0005,25,60,2.4,378.0,350.0,581.1,-631.5,338,324,418,376,1900.5
rabella_20211016_DSCF0005,25,61,2.44,400.0,322.0,562.44,-672.6,368,291,432,353,2199.5
rabella_20211016_DSCF0005,25,62,2.48,399.5,235.5,217.47600000000003,-1566.54,364,209,435,262,2103.0
rabella_20211016_DSCF0005,25,63,2.52,458.0,191.5,964.4904,-1286.616,427,165,489,218,1899.0
rabella_20211016_DSCF0005,25,64,2.56,458.0,191.5,385.79616000000004,-514.6464,427,165,489,218,1899.0
rabella_20211016_DSCF0005,25,65,2.6,497.5,124.5,746.8184640000001,-1210.8585600000001,472,94,523,155,1370.0
rabella_20211016_DSCF0005,25,66,2.64,539.5,65.5,928.7273856,-1369.3434240000001,517,41,562,90,1187.0
rabella_20211016_DSCF0005,32,84,3.36,217.5,421.0,0.0,0.0,210,415,225,427,101.0
rabella_20211016_DSCF0005,32,85,3.4,230.5,408.5,195.0,-187.5,220,399,241,418,191.0
rabella_20211016_DSCF0005,32,86,3.44,250.5,390.5,378.0,-345.0,232,377,269,404,553.0
rabella_20211016_DSCF0005,32,87,3.48,291.5,346.5,766.2,-798.0,273,331,310,362,667.0
rabella_20211016_DSCF0005,32,88,3.52,319.0,322.0,718.98,-686.7,297,307,341,337,518.5
rabella_20211016_DSCF0005,32,89,3.56,348.0,296.0,722.5920000000001,-664.6800000000001,323,276,373,316,766.0
rabella_20211016_DSCF0005,32,90,3.6,371.5,260.0,641.5368000000001,-805.8720000000001,353,237,390,283,755.0
rabella_20211016_DSCF0005,32,90,3.6,304.0,270.0,0.0,0.0,300,267,308,273,30.5
rabella_20211016_DSCF0005,32,91,3.64,406.5,218.5,781.61472,-944.8488,394,210,419,227,268.0
rabella_20211016_DSCF0005,32,91,3.64,353.0,218.5,735.0,-772.5,324,197,382,240,1261.5
rabella_20211016_DSCF0005,32,92,3.68,430.5,148.5,672.645888,-1427.93952,407,121,454,176,1080.5
rabella_20211016_DSCF0005,32,92,3.68,461.5,145.5,1921.5,-1404.0,448,129,475,162,432.0
rabella_20211016_DSCF0005,32,93,3.72,456.0,98.0,651.5583552,-1328.675808,438,76,474,120,606.5
rabella_20211016_DSCF0005,32,93,3.72,497.5,90.5,1308.6,-1386.6,477,78,518,103,332.5
rabella_20211016_DSCF0005,32,94,3.76,497.5,49.5,883.12334208,-1258.9703232000002,470,26,525,73,1237.0
rabella_20211016_DSCF0005,32,94,3.76,524.0,61.5,920.9399999999999,-989.64,520,59,528,64,19.0
rabella_20211016_DSCF0005,32,95,3.8,553.0,11.5,803.376,-1145.856,548,8,558,15,35.5
rabella_20211016_DSCF0005,42,157,6.28,178.5,395.5,0.0,0.0,149,373,208,418,1085.5
rabella_20211016_DSCF0005,42,158,6.32,206.5,373.5,420.0,-330.0,174,349,239,398,1952.0
rabella_20211016_DSCF0005,42,159,6.36,244.5,360.0,738.0,-334.5,213,331,276,389,2088.5
rabella_20211016_DSCF0005,42,160,6.4,274.5,349.5,745.2,-291.3,248,323,301,376,1565.5
rabella_20211016_DSCF0005,42,161,6.44,305.0,337.0,755.58,-304.02,284,320,326,354,868.5
rabella_20211016_DSCF0005,42,162,6.48,319.0,326.5,512.232,-279.108,315,323,323,330,24.5
rabella_20211016_DSCF0005,42,163,6.52,343.5,325.5,572.3928,-126.64320000000001,336,315,351,336,117.5
rabella_20211016_DSCF0005,42,164,6.56,364.5,336.0,543.95712,106.84271999999999,357,327,372,345,155.0
rabella_20211016_DSCF0005,42,165,6.6,384.5,344.0,517.582848,162.737088,379,337,390,351,84.5
rabella_20211016_DSCF0005,42,166,6.64,402.5,359.5,477.03313920000005,297.59483520000003,398,352,407,367,65.0
rabella_20211016_DSCF0005,42,168,6.72,429.5,404.5,374.23193011200004,444.634140672,424,398,435,411,82.5
rabella_20211016_DSCF0005,42,170,6.8,455.0,430.5,325.97349484032003,355.06829064192004,450,421,460,440,86.0
rabella_20211016_DSCF0005,42,171,6.84,448.5,442.5,32.889397936128006,322.027316256768,443,434,454,451,94.5
rabella_20211016_DSCF0005,42,172,6.88,424.0,474.0,-354.3442408255488,601.3109265027072,417,466,431,482,103.5
rabella_20211016_DSCF0005,42,173,6.92,411.5,480.5,-329.23769633021953,338.02437060108286,404,471,419,490,86.5
rabella_20211016_DSCF0005,44,162,6.48,362.0,319.0,0.0,0.0,345,303,379,335,661.0
