video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
rabella_20211016_DSCF0005,12,1.48,1.8,0.32,37,45,9,237.0,422.5,543.5,63.5,472.04,482.3,0.9787,1507.19,400.17,True,False,exits
rabella_20211016_DSCF0005,19,2.28,2.64,0.36,57,66,9,297.5,426.5,559.5,83.5,431.62,459.57,0.9392,1276.57,1027.78,True,False,exits
rabella_20211016_DSCF0005,25,3.36,3.8,0.44,84,95,17,217.5,421.0,554.0,12.0,529.64,750.46,0.7057,1705.59,333.85,True,False,exits
rabella_20211016_DSCF0005,36,6.28,6.76,0.48,157,169,13,196.0,409.0,460.0,413.0,264.03,358.64,0.7362,747.18,561.73,True,True,inside
rabella_20211016_DSCF0005,39,6.48,6.92,0.44,162,173,9,362.0,317.5,411.5,483.0,172.74,243.03,0.7108,552.33,108.22,True,True,inside
rabella_20211016_DSCF0005,40,17.08,17.32,0.24,427,433,7,247.0,408.0,522.5,75.0,432.19,437.78,0.9872,1824.1,954.79,True,False,exits
rabella_20211016_DSCF0005,46,22.28,22.56,0.28,557,564,8,164.0,402.0,411.0,493.5,263.4,276.75,0.9518,988.41,564.0,True,True,inside
rabella_20211016_DSCF0005,48,26.16,26.84,0.68,654,671,18,191.0,416.5,409.0,465.0,223.33,381.41,0.5855,560.9,423.92,True,True,inside
rabella_20211016_DSCF0005,52,47.2,47.8,0.6,1180,1195,15,270.0,442.5,510.5,443.0,240.5,366.78,0.6557,611.29,493.7,True,False,exits
rabella_20211016_DSCF0005,53,47.48,48.04,0.56,1187,1201,7,418.0,337.0,544.5,120.0,251.18,315.39,0.7964,563.2,540.57,True,False,exits
rabella_20211016_DSCF0005,54,47.52,47.92,0.4,1188,1198,9,445.5,344.5,461.0,508.5,164.73,222.12,0.7416,555.31,155.11,False,True,enters
rabella_20211016_DSCF0005,60,51.88,52.64,0.76,1297,1316,18,321.0,450.5,467.0,483.0,149.57,388.84,0.3847,511.63,620.33,True,True,inside
rabella_20211016_DSCF0005,61,52.08,52.44,0.36,1302,1311,10,341.5,344.5,487.0,366.0,147.08,172.76,0.8513,479.89,235.35,True,False,exits
rabella_20211016_DSCF0005,63,54.04,54.32,0.28,1351,1358,8,223.0,420.5,519.5,65.0,462.92,479.86,0.9647,1713.79,792.25,True,False,exits
rabella_20211016_DSCF0005,70,55.36,55.8,0.44,1384,1395,18,296.5,436.5,548.0,18.0,488.26,812.52,0.6009,1846.64,595.86,True,False,exits
rabella_20211016_DSCF0005,79,59.68,60.04,0.36,1492,1501,10,157.0,360.0,448.0,439.0,301.53,342.05,0.8815,950.14,833.55,True,True,inside
