video_id,track_id,frame,time_sec,x,y,vx,vy,bbox_x1,bbox_y1,bbox_x2,bbox_y2,area
rabella_20211016_DSCF0005,12,37,1.48,237.0,422.5,0.0,0.0,223,415,251,430,166.5
rabella_20211016_DSCF0005,12,38,1.52,269.5,409.0,487.5,-202.5,253,400,286,418,254.0
rabella_20211016_DSCF0005,12,39,1.56,305.0,388.5,727.5,-388.5,281,374,329,403,512.0
rabella_20211016_DSCF0005,12,40,1.6,337.0,361.0,771.0,-567.9,314,342,360,380,675.5
rabella_20211016_DSCF0005,12,41,1.64,375.5,326.0,885.9000000000001,-752.16,350,306,401,346,1004.5
rabella_20211016_DSCF0005,12,42,1.68,420.0,254.0,1021.8600000000001,-1380.864,417,251,423,257,17.0
rabella_20211016_DSCF0005,12,43,1.72,463.0,181.5,1053.7440000000001,-1639.8456,447,162,479,201,715.5
rabella_20211016_DSCF0005,12,44,1.76,499.5,123.0,968.9976000000001,-1533.43824,487,108,512,138,240.5
rabella_20211016_DSCF0005,12,45,1.8,543.5,63.5,1047.59904,-1505.8752960000002,540,61,547,66,16.0
rabella_20211016_DSCF0005,19,57,2.28,297.5,426.5,0.0,0.0,279,415,316,438,415.0
rabella_20211016_DSCF0005,19,58,2.32,326.5,406.5,435.0,-300.0,305,390,348,423,708.0
rabella_20211016_DSCF0005,19,59,2.36,355.0,378.0,601.5,-547.5,323,351,387,405,2138.5
rabella_20211016_DSCF0005,19,60,2.4,372.0,353.0,495.6,-594.0,339,330,405,376,1699.0
rabella_20211016_DSCF0005,19,61,2.44,400.5,321.5,625.74,-710.1,370,291,431,352,2015.5
rabella_20211016_DSCF0005,19,62,2.48,400.5,238.0,250.29600000000002,-1536.54,367,216,434,260,1368.0
rabella_20211016_DSCF0005,19,63,2.52,499.0,178.5,1577.6184,-1507.116,484,159,514,198,429.0
rabella_20211016_DSCF0005,19,65,2.6,537.0,123.5,852.9426240000001,-955.06176,526,107,548,140,323.0
rabella_20211016_DSCF0005,19,66,2.64,559.5,83.5,678.6770496000001,-982.024704,548,74,571,93,154.0
rabella_20211016_DSCF0005,25,84,3.36,217.5,421.0,0.0,0.0,211,416,224,426,79.5
rabella_20211016_DSCF0005,25,85,3.4,230.5,408.0,195.0,-195.0,221,399,240,417,162.0
rabella_20211016_DSCF0005,25,86,3.44,247.5,390.5,333.0,-340.5,234,378,261,403,421.0
rabella_20211016_DSCF0005,25,87,3.48,292.0,346.5,800.7,-796.2,274,332,310,361,559.5
rabella_20211016_DSCF0005,25,88,3.52,319.0,322.5,725.28,-678.48,299,308,339,337,464.0
rabella_20211016_DSCF0005,25,89,3.56,346.0,295.5,695.1120000000001,-676.392,324,277,368,314,622.0
rabella_20211016_DSCF0005,25,89,3.56,362.5,310.5,0.0,0.0,359,308,366,313,16.0
rabella_20211016_DSCF0005,25,90,3.6,371.5,262.5,660.5448000000001,-765.5568000000001,353,244,390,281,577.5
rabella_20211016_DSCF0005,25,90,3.6,366.5,241.5,60.0,-1035.0,364,239,369,244,14.0
rabella_20211016_DSCF0005,25,91,3.64,391.5,240.0,564.21792,-643.72272,382,230,401,250,207.0
