video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
rabella_20211016_DSCF0005,19,1.48,1.8,0.32,37,45,9,237.5,422.0,550.0,51.5,484.69,495.71,0.9778,1549.1,758.61,True,False,exits
rabella_20211016_DSCF0005,27,2.28,2.64,0.36,57,66,10,297.0,426.0,559.0,89.0,426.86,436.7,0.9775,1213.05,1839.05,True,False,exits
rabella_20211016_DSCF0005,34,3.36,3.8,0.44,84,95,18,218.0,421.0,561.5,2.0,541.81,693.62,0.7811,1576.42,504.69,True,False,exits
rabella_20211016_DSCF0005,46,6.28,6.76,0.48,157,169,12,178.5,393.0,432.0,420.5,254.99,322.1,0.7916,671.03,797.29,True,True,inside
rabella_20211016_DSCF0005,47,6.44,6.92,0.48,161,173,13,254.5,333.5,411.5,480.0,214.74,343.64,0.6249,715.92,275.92,True,True,inside
rabella_20211016_DSCF0005,56,17.08,17.32,0.24,427,433,7,255.0,408.0,486.5,60.5,417.55,429.88,0.9713,1791.15,1292.93,True,False,exits
rabella_20211016_DSCF0005,64,22.28,22.56,0.28,557,564,8,178.5,388.0,410.0,493.5,254.41,267.64,0.9505,955.87,817.94,True,True,inside
rabella_20211016_DSCF0005,67,26.16,26.88,0.72,654,672,26,193.0,415.0,398.0,481.0,215.36,756.55,0.2847,1050.76,400.0,True,True,inside
rabella_20211016_DSCF0005,72,47.2,48.04,0.84,1180,1201,12,270.5,441.5,499.5,126.5,389.44,452.26,0.8611,538.4,862.54,True,False,exits
rabella_20211016_DSCF0005,73,47.44,47.8,0.36,1186,1195,7,326.5,336.0,510.0,442.5,212.17,269.57,0.787,748.82,258.64,True,False,exits
rabella_20211016_DSCF0005,74,47.44,47.92,0.48,1186,1198,9,339.5,319.5,460.5,508.5,224.41,321.38,0.6983,669.54,140.5,True,True,inside
rabella_20211016_DSCF0005,76,47.76,48.04,0.28,1194,1201,8,287.0,443.5,567.0,135.0,416.62,422.48,0.9861,1508.86,695.19,True,False,exits
rabella_20211016_DSCF0005,81,51.88,52.32,0.44,1297,1308,12,321.5,450.0,477.0,329.5,196.72,235.09,0.8368,534.31,1001.5,True,False,exits
rabella_20211016_DSCF0005,82,51.96,52.64,0.68,1299,1316,15,275.0,427.5,468.0,482.5,200.68,439.93,0.4562,646.95,205.73,True,True,inside
rabella_20211016_DSCF0005,85,52.16,52.6,0.44,1304,1315,11,399.0,296.5,439.5,473.0,181.09,241.72,0.7492,549.36,320.09,False,True,enters
rabella_20211016_DSCF0005,86,54.04,54.32,0.28,1351,1358,8,223.0,420.5,553.5,66.5,484.3,492.55,0.9833,1759.09,1034.19,True,False,exits
rabella_20211016_DSCF0005,99,55.32,55.8,0.48,1383,1395,13,269.5,446.0,592.0,19.5,534.7,550.99,0.9704,1147.9,817.5,True,False,exits
rabella_20211016_DSCF0005,108,59.68,60.04,0.36,1492,1501,10,156.5,358.0,449.0,439.0,303.51,347.55,0.8733,965.42,1084.35,True,True,inside
