video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
DSCF0005,22,21.4,21.8667,0.4667,642,656,15,514.0,761.0,1098.5,780.0,584.81,635.54,0.9202,1361.88,1715.07,True,True,inside
DSCF0005,27,23.4,23.7333,0.3333,702,712,19,623.0,767.5,996.0,608.5,405.48,1022.67,0.3965,3068.02,1052.16,True,False,exits
DSCF0005,30,23.6,23.8667,0.2667,708,716,8,890.5,625.5,1117.0,757.5,262.16,311.8,0.8408,1169.26,697.62,True,True,inside
DSCF0005,34,28.9,29.4667,0.5667,867,884,29,645.5,758.5,1382.0,39.0,1029.62,1526.56,0.6745,2693.94,697.22,True,False,exits
DSCF0005,71,115.5667,115.7667,0.2,3467,3473,7,1198.0,101.0,1075.5,746.0,656.53,674.18,0.9738,3370.92,269.0,False,True,enters
DSCF0005,91,116.7,116.9333,0.2333,3501,3508,8,1476.5,122.0,937.0,775.0,847.04,853.11,0.9929,3656.2,1223.81,False,True,enters
DSCF0005,105,123.6333,124.0,0.3667,3709,3720,16,623.5,778.0,1206.5,738.0,584.37,807.97,0.7233,2203.55,2361.38,True,True,inside
DSCF0005,108,124.3,124.4667,0.1667,3729,3734,6,532.5,773.5,823.5,775.0,291.0,297.87,0.977,1787.21,2782.42,True,True,inside
DSCF0005,119,193.7667,194.2,0.4333,5813,5826,24,727.5,764.0,1231.5,735.5,504.81,1176.65,0.429,2715.34,1734.85,True,False,exits
DSCF0005,126,197.7,198.1667,0.4667,5931,5945,25,878.5,769.5,1238.5,767.0,360.01,1076.22,0.3345,2306.19,1129.42,True,True,inside
DSCF0005,135,203.1,203.2667,0.1667,6093,6098,6,791.5,775.0,1023.0,471.0,382.11,386.95,0.9875,2321.71,1354.58,True,False,exits
DSCF0005,194,344.5333,344.9,0.3667,10336,10347,12,520.5,775.0,1046.0,770.0,525.52,564.38,0.9312,1539.21,3598.29,True,True,inside
DSCF0005,196,345.0667,345.4,0.3333,10352,10362,11,495.0,777.5,902.5,768.5,407.6,426.51,0.9557,1279.53,2260.95,True,True,inside
DSCF0005,197,347.0,347.3,0.3,10410,10419,10,579.5,779.0,981.0,585.0,445.91,457.52,0.9746,1525.05,3253.15,True,False,exits
DSCF0005,198,347.1667,347.5,0.3333,10415,10425,9,775.0,659.0,1158.5,773.5,400.23,463.75,0.863,1391.24,634.56,True,True,inside
DSCF0005,201,347.5667,348.0333,0.4667,10427,10441,15,578.5,780.0,1026.5,764.0,448.29,505.29,0.8872,1082.77,2338.93,True,True,inside
DSCF0005,204,354.9667,355.4333,0.4667,10649,10663,26,561.0,773.5,1162.0,748.5,601.52,1679.29,0.3582,3598.48,1889.37,True,True,inside
DSCF0005,209,355.2,355.4333,0.2333,10656,10663,8,851.5,567.5,1185.5,754.5,382.79,456.69,0.8382,1957.22,923.69,False,True,enters
DSCF0005,211,355.7667,356.3,0.5333,10673,10689,17,469.5,762.0,1049.0,777.5,579.71,681.09,0.8511,1277.05,2007.79,True,True,inside
DSCF0005,215,362.8333,363.3667,0.5333,10885,10901,26,611.5,779.5,1198.5,769.0,587.09,1530.38,0.3836,2869.46,1638.35,True,True,inside
DSCF0005,223,365.3667,365.7667,0.4,10961,10973,12,563.5,767.5,1076.5,507.5,575.13,596.96,0.9634,1492.4,3589.25,True,False,exits
DSCF0005,225,365.5333,365.8667,0.3333,10966,10976,9,691.5,668.5,896.0,770.0,228.3,420.6,0.5428,1261.8,1635.72,True,True,inside
DSCF0005,227,365.6,365.9,0.3,10968,10977,8,793.0,581.0,1051.5,771.0,320.81,402.55,0.7969,1341.85,1825.5,True,True,inside
DSCF0005,256,366.6333,367.3667,0.7333,10999,11021,10,1158.5,502.0,645.5,752.5,570.89,744.67,0.7666,1015.46,297.85,False,True,enters
DSCF0005,260,366.7667,368.0333,1.2667,11003,11041,27,1187.0,649.0,1209.5,755.5,108.85,1089.76,0.0999,860.34,1967.43,False,True,enters
DSCF0005,264,368.6333,369.0,0.3667,11059,11070,12,692.5,764.5,1128.0,665.5,446.61,486.09,0.9188,1325.7,4090.04,True,False,exits
DSCF0005,265,368.7667,369.0667,0.3,11063,11072,6,825.0,612.5,1171.5,730.5,366.04,370.57,0.9878,1235.24,66.83,True,True,inside
DSCF0005,269,370.2667,371.0333,0.7667,11108,11131,24,947.5,765.5,578.5,711.0,373.0,658.22,0.5667,858.54,1098.48,True,True,inside
DSCF0005,270,370.3333,371.5333,1.2,11110,11146,23,970.0,708.0,1187.0,699.0,217.19,1368.61,0.1587,1140.51,416.74,True,False,exits
DSCF0005,271,370.5,371.2667,0.7667,11115,11138,16,995.0,701.5,1270.0,721.0,275.69,697.53,0.3952,909.83,4211.28,True,False,exits
DSCF0005,272,371.0,371.3,0.3,11130,11139,8,855.0,696.0,1289.0,766.5,439.69,496.32,0.8859,1654.39,376.88,True,False,exits
DSCF0005,273,371.0333,371.4333,0.4,11131,11143,20,589.0,704.0,1184.0,550.5,614.48,1073.74,0.5723,2684.35,1361.35,True,False,exits
DSCF0005,278,371.1333,371.4667,0.3333,11134,11144,11,747.0,645.5,1192.0,622.5,445.59,608.7,0.732,1826.09,328.32,True,False,exits
DSCF0005,289,371.8,372.1667,0.3667,11154,11165,12,619.0,772.5,1120.0,772.5,501.0,541.99,0.9244,1478.15,4373.04,True,True,inside
DSCF0005,294,375.1,375.5,0.4,11253,11265,11,1021.5,773.0,837.0,607.5,247.85,394.63,0.6281,986.58,766.5,True,True,inside
DSCF0005,295,375.3,375.8667,0.5667,11259,11276,13,963.5,722.5,1222.5,767.0,262.8,949.21,0.2769,1675.08,293.69,True,True,inside
DSCF0005,296,375.3333,375.9,0.5667,11260,11277,29,730.5,763.0,1278.0,779.0,547.73,1557.06,0.3518,2747.75,2423.33,True,True,inside
DSCF0005,299,375.5,375.6667,0.1667,11265,11270,6,886.0,553.5,1112.0,515.5,229.17,234.4,0.9777,1406.43,2452.0,False,False,outside
DSCF0005,305,384.6667,385.2,0.5333,11540,11556,31,586.0,779.0,1257.5,693.5,676.92,1964.96,0.3445,3684.3,1350.81,True,False,exits
DSCF0005,306,384.8333,385.4,0.5667,11545,11562,48,735.0,585.0,1190.5,769.0,491.26,3958.75,0.1241,6986.04,1284.44,True,True,inside
DSCF0005,320,386.1333,386.5,0.3667,11584,11595,12,559.5,779.0,1027.0,775.5,467.51,502.48,0.9304,1370.41,2086.38,True,True,inside
DSCF0005,321,387.0,387.2333,0.2333,11610,11617,8,766.5,776.0,1098.5,642.5,357.84,365.67,0.9786,1567.16,4968.88,True,False,exits
DSCF0005,324,387.1667,387.4,0.2333,11615,11622,8,968.0,672.5,1227.5,764.5,275.33,364.86,0.7546,1563.67,313.88,True,True,inside
DSCF0005,326,387.9333,388.3667,0.4333,11638,11651,23,779.5,765.5,1171.5,773.0,392.07,913.02,0.4294,2106.96,1156.37,True,True,inside
DSCF0005,378,390.7333,391.0,0.2667,11722,11730,6,837.0,747.0,620.5,773.0,218.06,237.92,0.9165,892.19,3504.17,True,True,inside
DSCF0005,382,390.9667,391.5333,0.5667,11729,11746,20,693.0,776.0,798.5,577.5,224.79,1012.7,0.222,1787.12,915.62,True,True,inside
DSCF0005,384,391.2667,392.5333,1.2667,11738,11776,34,961.0,658.0,817.5,764.5,178.7,1368.93,0.1305,1080.73,1918.03,True,True,inside
DSCF0005,390,392.1667,392.8,0.6333,11765,11784,17,990.5,598.0,752.0,759.0,287.76,718.41,0.4005,1134.33,2256.09,False,True,enters
DSCF0005,391,392.2333,392.6667,0.4333,11767,11780,10,988.0,652.5,975.0,673.0,24.27,205.38,0.1182,473.96,1862.45,True,True,inside
DSCF0005,419,397.2,397.3667,0.1667,11916,11921,6,1187.0,136.5,840.0,742.5,698.32,716.06,0.9752,4296.35,1932.42,False,True,enters
DSCF0005,432,398.2667,398.6,0.3333,11948,11958,11,628.5,748.0,1048.0,587.5,449.16,473.16,0.9493,1419.48,2564.82,True,False,exits
DSCF0005,434,398.4333,398.8,0.3667,11953,11964,23,834.5,565.0,1209.0,780.0,431.83,999.37,0.4321,2725.57,471.35,False,True,enters
DSCF0005,446,408.0667,408.4667,0.4,12242,12254,13,556.5,775.0,1166.5,774.0,610.0,684.56,0.8911,1711.41,3377.65,True,True,inside
DSCF0005,449,408.7667,409.0667,0.3,12263,12272,16,648.5,753.5,1120.5,588.5,500.01,1062.07,0.4708,3540.23,3891.56,True,False,exits
DSCF0005,451,408.9333,409.2,0.2667,12268,12276,13,900.5,579.5,1242.0,756.5,384.64,709.54,0.5421,2660.78,601.85,True,True,inside
DSCF0005,460,414.0333,414.2667,0.2333,12421,12428,8,721.5,778.5,1032.0,772.5,310.56,315.38,0.9847,1351.63,2563.62,True,True,inside
DSCF0005,465,421.7333,422.0667,0.3333,12652,12662,9,695.5,773.0,949.0,707.5,261.83,382.42,0.6847,1147.26,2207.28,True,True,inside
DSCF0005,467,421.9,422.1667,0.2667,12657,12665,9,744.0,780.0,1038.0,771.0,294.14,312.82,0.9403,1173.07,2170.56,True,True,inside
DSCF0005,469,425.1333,425.5667,0.4333,12754,12767,14,708.0,772.0,1197.0,772.0,489.0,588.9,0.8304,1358.99,3184.21,True,True,inside
DSCF0005,470,425.3667,425.8,0.4333,12761,12774,8,985.0,697.0,1182.0,775.5,212.06,353.21,0.6004,815.1,1989.31,True,True,inside
DSCF0005,474,426.0667,426.4333,0.3667,12782,12793,12,673.5,771.0,1160.0,770.0,486.5,512.65,0.949,1398.13,4408.54,True,True,inside
DSCF0005,479,432.8667,433.8667,1.0,12986,13016,9,625.0,778.0,977.0,676.5,366.34,490.65,0.7466,490.65,1395.5,True,True,inside
DSCF0005,481,433.7,434.1,0.4,13011,13023,15,766.0,767.5,1222.5,753.5,456.71,630.2,0.7247,1575.5,1318.33,True,True,inside
DSCF0005,482,433.7,433.9,0.2,13011,13017,7,833.0,757.0,1001.0,576.5,246.59,252.48,0.9766,1262.42,4582.5,True,False,exits
DSCF0005,488,437.2333,437.7333,0.5,13117,13132,30,895.5,780.0,1303.0,617.5,438.71,1418.95,0.3092,2837.9,1780.47,True,False,exits
DSCF0005,489,437.3667,438.6,1.2333,13121,13158,23,992.5,689.0,1150.5,501.5,245.19,1714.74,0.143,1390.33,304.24,True,False,exits
DSCF0005,495,437.5667,437.8333,0.2667,13127,13135,6,1158.5,601.0,1334.0,761.5,237.82,259.85,0.9152,974.44,84.0,False,False,outside
DSCF0005,497,437.6,438.0333,0.4333,13128,13141,21,934.0,759.5,1124.5,283.5,512.7,1233.5,0.4157,2846.53,1835.67,True,False,exits
DSCF0005,499,437.7333,438.7667,1.0333,13132,13163,58,996.5,590.5,1211.5,751.0,268.3,3596.13,0.0746,3480.12,947.83,False,True,enters
DSCF0005,500,437.7333,438.0333,0.3,13132,13141,6,836.0,581.0,1086.5,300.0,376.45,403.46,0.9331,1344.85,1305.83,True,False,exits
DSCF0005,503,437.8333,438.2667,0.4333,13135,13148,11,966.5,404.5,1112.5,738.5,364.52,625.85,0.5824,1444.27,1765.32,False,True,enters
DSCF0005,517,441.7333,442.1667,0.4333,13252,13265,14,834.0,767.5,1065.5,772.0,231.54,355.61,0.6511,820.64,2431.86,True,True,inside
DSCF0005,518,441.8667,442.0333,0.1667,13256,13261,6,860.5,685.0,1008.0,656.5,150.23,163.95,0.9163,983.67,39.25,True,True,inside
DSCF0005,519,442.2,442.7,0.5,13266,13281,20,793.5,780.0,1081.0,775.5,287.54,546.75,0.5259,1093.5,1805.75,True,True,inside
DSCF0005,521,442.6,443.5333,0.9333,13278,13306,13,978.0,734.5,1256.5,709.5,279.62,542.12,0.5158,580.84,811.54,True,False,exits
DSCF0005,522,443.1333,443.6333,0.5,13294,13309,18,984.0,737.5,1241.0,760.5,258.03,634.05,0.407,1268.1,145.47,True,True,inside
DSCF0005,524,445.2333,445.6667,0.4333,13357,13370,33,709.0,762.0,1137.5,766.5,428.52,1494.32,0.2868,3448.43,1575.71,True,True,inside
DSCF0005,528,445.8667,446.3,0.4333,13376,13389,14,905.0,768.0,1164.0,773.0,259.05,398.12,0.6507,918.74,2350.61,True,True,inside
DSCF0005,530,445.9667,446.5,0.5333,13379,13395,6,915.0,699.5,1167.0,567.0,284.71,305.31,0.9325,572.46,377.58,True,False,exits
DSCF0005,531,446.0667,446.7333,0.6667,13382,13402,23,981.0,677.5,1337.0,20.0,747.69,1683.93,0.444,2525.9,1280.41,True,False,exits
DSCF0005,547,446.6667,447.3,0.6333,13400,13419,12,1259.5,143.0,1095.0,752.0,630.83,1016.41,0.6206,1604.86,316.33,False,True,enters
DSCF0005,548,447.0667,447.3,0.2333,13412,13419,14,1137.0,189.0,1119.0,763.0,574.28,805.99,0.7125,3454.24,1199.32,False,True,enters
