frame_index,median_absdiff_roi,mean_absdiff_roi,p95_absdiff_roi
0,1.0,1.4465213036919806,4.0
512,1.0,1.4930605356215534,4.0
1025,1.0,1.4561252751057148,4.0
1537,1.0,1.4641898909468583,4.0
2050,1.0,1.497656964811197,4.0
2562,1.0,1.4561221840302678,4.0
3075,1.0,1.4417239545982838,4.0
3587,1.0,1.4561592769356315,4.0
4100,1.0,1.4597016493978585,4.0
4612,1.0,1.46693167486832,4.0
5125,1.0,1.4961299735403941,4.0
5637,1.0,1.4661898167610474,4.0
6150,1.0,1.4686317663641535,4.0
6662,1.0,1.4510033630900863,4.0
7175,1.0,1.4438969806375035,4.0
7687,1.0,1.4544375479116693,4.0
8200,1.0,1.4507653502806697,4.0
8713,1.0,1.4834009248497737,4.0
9225,1.0,1.4712900912485471,4.0
9738,1.0,1.4746902742402137,4.0
10250,1.0,1.4419526941813596,4.0
10763,1.0,1.4445862904621776,4.0
11275,1.0,1.4577975469225253,4.0
11788,1.0,1.4664278295704642,4.0
12300,1.0,1.4345433863349737,4.0
12813,1.0,1.4365556764509508,4.0
13325,1.0,1.45621182521823,4.0
13838,1.0,1.4402680580627611,4.0
14350,1.0,1.451238284824056,4.0
14863,1.0,1.4527127278122605,4.0
15375,1.0,1.4629349143153887,4.0
15888,1.0,1.4552288632260937,4.0
16401,1.0,1.4434456836222458,4.0
16913,1.0,1.4646844630183733,4.0
17426,1.0,1.4582673903904646,4.0
17938,1.0,1.4680908281609337,4.0
18451,1.0,1.4531949355819878,4.0
18963,1.0,1.4428954721926852,4.0
19476,1.0,1.4515535745196468,4.0
19988,1.0,1.4673118771482974,4.0
20501,1.0,1.4711757214570094,4.0
21013,1.0,1.4386390613022082,4.0
21526,1.0,1.4344846559014812,4.0
22038,1.0,1.4281974084423452,4.0
22551,1.0,1.439897129009125,4.0
23063,1.0,1.4555101510917678,4.0
23576,1.0,1.4611019065753357,4.0
24089,2.0,3.16061846237543,8.0
