video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
rabella_20211016_DSCF0005,19,1.48,1.8,0.32,37,45,9,257.6,412.7,522.0,90.5,416.8,420.95,0.9901,1315.46,758.61,True,False,exits
rabella_20211016_DSCF0005,27,2.28,2.64,0.36,57,66,10,314.7,412.5,532.6,118.1,366.27,368.1,0.995,1022.49,1839.05,True,False,exits
rabella_20211016_DSCF0005,34,3.36,3.8,0.44,84,95,18,227.1,412.3,538.9,16.8,503.63,510.42,0.9867,1160.05,504.69,True,False,exits
rabella_20211016_DSCF0005,46,6.28,6.76,0.48,157,169,12,197.4,382.8,425.2,404.6,228.84,268.32,0.8529,558.99,797.29,True,True,inside
rabella_20211016_DSCF0005,47,6.44,6.92,0.48,161,173,13,302.6,330.6,421.2,471.4,184.09,265.08,0.6945,552.25,275.92,True,True,inside
rabella_20211016_DSCF0005,56,17.08,17.32,0.24,427,433,7,272.3,387.6,451.9,110.8,329.96,330.67,0.9979,1377.77,1292.93,True,False,exits
rabella_20211016_DSCF0005,64,22.28,22.56,0.28,557,564,8,199.2,396.0,404.5,482.3,222.7,225.38,0.9881,804.95,817.94,True,True,inside
rabella_20211016_DSCF0005,67,26.16,26.88,0.72,654,672,26,218.1,412.3,403.4,473.1,195.02,338.35,0.5764,469.93,400.0,True,True,inside
rabella_20211016_DSCF0005,72,47.2,48.04,0.84,1180,1201,12,274.9,427.3,497.5,165.2,343.87,358.45,0.9593,426.73,862.54,True,False,exits
rabella_20211016_DSCF0005,73,47.44,47.8,0.36,1186,1195,7,366.5,331.4,501.8,421.4,162.5,177.81,0.9139,493.9,258.64,True,False,exits
rabella_20211016_DSCF0005,74,47.44,47.92,0.48,1186,1198,9,360.2,328.0,472.1,496.7,202.44,248.48,0.8147,517.67,140.5,True,True,inside
rabella_20211016_DSCF0005,76,47.76,48.04,0.28,1194,1201,8,304.6,433.7,528.9,177.9,340.21,340.87,0.9981,1217.41,695.19,True,False,exits
rabella_20211016_DSCF0005,81,51.88,52.32,0.44,1297,1308,12,327.2,434.4,467.7,326.3,177.27,197.75,0.8964,449.43,1001.5,True,False,exits
rabella_20211016_DSCF0005,82,51.96,52.64,0.68,1299,1316,15,270.0,414.7,470.7,470.9,208.42,351.41,0.5931,516.79,205.73,True,True,inside
rabella_20211016_DSCF0005,85,52.16,52.6,0.44,1304,1315,11,404.6,302.7,448.2,450.7,154.29,186.01,0.8295,422.74,320.09,False,True,enters
rabella_20211016_DSCF0005,86,54.04,54.32,0.28,1351,1358,8,251.0,405.2,514.0,122.7,385.97,389.33,0.9914,1390.46,1034.19,True,False,exits
rabella_20211016_DSCF0005,99,55.32,55.8,0.48,1383,1395,13,284.4,437.4,579.8,45.7,490.6,495.19,0.9907,1031.64,817.5,True,False,exits
rabella_20211016_DSCF0005,108,59.68,60.04,0.36,1492,1501,10,176.0,350.2,439.9,425.5,274.43,290.2,0.9457,806.1,1084.35,True,True,inside
