video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
rabella_20211016_DSCF0005,12,1.48,1.8,0.32,37,45,9,257.1,413.0,518.6,99.0,408.63,412.71,0.9901,1289.73,400.17,True,False,exits
rabella_20211016_DSCF0005,19,2.28,2.64,0.36,57,66,9,314.8,412.8,542.9,110.5,378.7,380.31,0.9958,1056.42,1027.78,True,False,exits
rabella_20211016_DSCF0005,25,3.36,3.8,0.44,84,95,17,226.1,412.3,524.1,38.3,478.2,482.99,0.9901,1097.71,333.85,True,False,exits
rabella_20211016_DSCF0005,37,6.28,6.76,0.48,157,169,13,207.6,392.3,458.9,403.5,251.55,300.21,0.8379,625.44,561.73,True,True,inside
rabella_20211016_DSCF0005,40,6.48,6.92,0.44,162,173,9,359.3,323.7,421.6,473.1,161.87,176.92,0.9149,402.08,108.22,True,True,inside
rabella_20211016_DSCF0005,41,17.08,17.32,0.24,427,433,7,267.4,387.7,481.1,119.4,343.01,343.18,0.9995,1429.91,954.79,True,False,exits
rabella_20211016_DSCF0005,47,22.28,22.56,0.28,557,564,8,190.7,404.7,404.9,483.6,228.27,232.4,0.9822,830.01,564.0,True,True,inside
rabella_20211016_DSCF0005,49,26.16,26.84,0.68,654,671,18,217.3,413.6,411.8,459.9,199.93,329.31,0.6071,484.28,423.92,True,True,inside
rabella_20211016_DSCF0005,53,47.2,47.8,0.6,1180,1195,15,274.1,428.2,512.6,432.4,238.54,316.27,0.7542,527.11,493.7,True,False,exits
rabella_20211016_DSCF0005,54,47.48,48.04,0.56,1187,1201,7,413.6,338.0,521.8,168.1,201.43,202.31,0.9956,361.27,540.57,True,False,exits
rabella_20211016_DSCF0005,55,47.52,47.92,0.4,1188,1198,9,456.8,345.1,471.2,490.8,146.41,169.85,0.862,424.63,155.11,False,True,enters
rabella_20211016_DSCF0005,61,51.88,52.64,0.76,1297,1316,18,327.0,434.9,470.4,471.2,147.92,338.85,0.4365,445.85,620.33,True,True,inside
rabella_20211016_DSCF0005,62,52.08,52.44,0.36,1302,1311,10,352.9,338.6,482.5,358.0,131.04,144.08,0.9095,400.23,235.35,True,False,exits
rabella_20211016_DSCF0005,64,54.04,54.32,0.28,1351,1358,8,251.5,405.5,487.3,120.0,370.29,376.18,0.9843,1343.51,792.25,True,False,exits
rabella_20211016_DSCF0005,71,55.36,55.8,0.44,1384,1395,18,308.5,421.9,550.1,32.6,458.18,470.97,0.9728,1070.38,595.86,True,False,exits
rabella_20211016_DSCF0005,80,59.68,60.04,0.36,1492,1501,10,176.5,351.4,439.9,424.3,273.3,289.46,0.9442,804.06,833.55,True,True,inside
