video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
video_sincronitzat,480,65.8,67.7333,1.9333,1974,2032,32,384.0,766.5,393.5,682.5,84.54,313.0,0.2701,161.89,8.25,False,True,enters
video_sincronitzat,1082,447.7333,448.1,0.3667,13432,13443,11,707.5,667.0,1002.5,334.0,444.88,489.5,0.9088,1335.01,242.23,True,False,exits
video_sincronitzat,1234,770.2333,770.5,0.2667,23107,23115,9,907.5,710.0,748.0,561.5,217.93,218.19,0.9988,818.21,66.0,False,False,outside
video_sincronitzat,1298,1089.0333,1089.4333,0.4,32671,32683,11,715.0,621.0,1101.5,164.5,598.14,670.25,0.8924,1675.64,267.82,True,False,exits
video_sincronitzat,1300,1089.2,1089.4667,0.2667,32676,32684,7,811.0,609.5,1129.5,53.0,641.2,658.71,0.9734,2470.15,1093.57,False,False,outside
video_sincronitzat,1309,1117.6667,1118.0333,0.3667,33530,33541,12,1051.0,88.0,778.0,632.5,609.11,673.66,0.9042,1837.26,690.5,False,True,enters
video_sincronitzat,1336,1267.3667,1268.0667,0.7,38021,38042,18,1360.0,313.0,828.5,661.0,635.29,743.6,0.8543,1062.29,262.03,False,False,outside
video_sincronitzat,1354,1407.2,1407.6,0.4,42216,42228,11,748.0,658.5,1156.5,162.5,642.56,723.31,0.8884,1808.28,570.18,True,False,exits
video_sincronitzat,1360,1433.5667,1433.8,0.2333,43007,43014,8,729.0,648.0,938.0,597.5,215.01,224.46,0.9579,961.98,228.38,True,False,exits
video_sincronitzat,1372,1462.1,1462.4,0.3,43863,43872,9,1140.0,297.5,815.0,650.5,479.83,494.0,0.9713,1646.65,519.61,False,False,outside
video_sincronitzat,1383,1503.8667,1504.1,0.2333,45116,45123,8,817.5,668.0,1003.5,457.5,280.9,300.83,0.9338,1289.27,475.31,False,False,outside
video_sincronitzat,1395,1589.0333,1589.3333,0.3,47671,47680,10,828.5,623.0,1245.0,11.0,740.28,779.33,0.9499,2597.76,392.0,False,False,outside
video_sincronitzat,1407,1625.8667,1626.2,0.3333,48776,48786,10,745.0,659.0,1149.0,125.5,669.21,729.73,0.9171,2189.19,334.55,True,False,exits
video_sincronitzat,1425,1630.0333,1630.4333,0.4,48901,48913,13,1257.5,370.0,770.5,661.0,567.32,612.49,0.9262,1531.23,882.31,False,True,enters
video_sincronitzat,1429,1657.2,1657.4333,0.2333,49716,49723,8,1099.5,164.5,792.5,618.5,548.06,587.04,0.9336,2515.9,538.88,False,True,enters
video_sincronitzat,1452,1735.0667,1735.8667,0.8,52052,52076,15,832.5,766.0,700.5,578.0,229.71,248.47,0.9245,310.59,17.83,False,False,outside
video_sincronitzat,1475,1975.0,1975.3,0.3,59250,59259,10,817.0,635.5,973.5,77.0,580.01,592.04,0.9797,1973.46,409.25,False,False,outside
video_sincronitzat,1483,2017.4333,2017.6333,0.2,60523,60529,7,1038.0,253.0,808.5,648.0,456.83,477.72,0.9563,2388.58,192.93,False,True,enters
video_sincronitzat,1504,2098.5,2098.8667,0.3667,62955,62966,12,719.0,645.0,1144.0,82.5,705.0,754.35,0.9346,2057.33,1081.46,True,False,exits
video_sincronitzat,1515,2118.1667,2118.5333,0.3667,63545,63556,12,806.0,682.5,1062.0,11.0,718.64,777.34,0.9245,2120.03,1031.62,True,False,exits
video_sincronitzat,1522,2118.4333,2118.6,0.1667,63553,63558,6,706.5,614.5,685.5,630.0,26.1,34.5,0.7565,207.01,223.25,True,True,inside
video_sincronitzat,1525,2128.2667,2128.6,0.3333,63848,63858,11,800.5,689.5,1165.0,38.5,746.1,789.36,0.9452,2368.07,1304.45,True,False,exits
video_sincronitzat,1536,2131.0667,2131.6333,0.5667,63932,63949,15,694.0,666.5,1052.0,3.5,753.48,921.42,0.8177,1626.04,936.33,True,False,exits
video_sincronitzat,1549,2132.0333,2132.3,0.2667,63961,63969,9,663.0,667.0,786.5,675.0,123.76,130.28,0.9499,488.57,246.39,True,True,inside
video_sincronitzat,1550,2133.7,2134.0,0.3,64011,64020,10,753.0,684.5,1093.0,455.0,410.21,461.63,0.8886,1538.77,971.75,True,False,exits
